"","HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common name","Female maturity (days)","Male maturity (days)","Gestation/Incubation (days)","Weaning (days)","Litter/Clutch size","Litters/Clutches per year","Inter-litter/Interbirth interval","Birth weight (g)","Weaning weight (g)","Adult weight (g)","Growth rate (1/days)","Maximum longevity (yrs)","Source","Specimen origin","Sample size","Data quality","IMR (per yr)","MRDT (yrs)","Metabolic rate (W)","Body mass (g)","Temperature (K)","References"
"1","00003","Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulicaria","Daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,"unknown","medium","acceptable",NA,NA,NA,NA,NA,"1294,1295,1296"
"2","00005","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","melanogaster","Fruit fly",7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,"captivity","large","acceptable",0.05,0.04,NA,NA,NA,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
"3","00006","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","mellifera","Honey bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"812","unknown","medium","acceptable",NA,NA,NA,NA,NA,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166"
"4","00008","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Cardiocondyla","obscurior","Cardiocondyla obscurior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"1293","captivity","medium","acceptable",NA,NA,NA,NA,NA,"1293"
"5","00009","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","niger","Black garden ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"411","unknown","medium","acceptable",NA,NA,NA,NA,NA,"411,813,814"
"6","00010","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","dentata","Pheidole dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"1156","captivity","medium","questionable",NA,NA,NA,NA,NA,"1156"
"7","00011","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Bicyclus","anynana","Squinting bush brown",15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"811","wild","medium","acceptable",NA,NA,NA,NA,NA,"418,809,811"
"8","00012","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","americanus","American lobster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2","wild","medium","acceptable",NA,NA,NA,NA,NA,"2,13,594"
"9","00015","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","bombina","Firebelly toad",1095,1095,NA,NA,190,NA,NA,NA,NA,NA,NA,20,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,525,749"
"10","00016","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","orientalis","Oriental firebelly toad",NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,15.8,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,525,749"
"11","00017","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","variegata","Yellow-bellied toad",NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,29,NA,"captivity","medium","acceptable",NA,NA,NA,NA,NA,"24,525,749"
"12","00018","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","americanus","American toad",910,910,8,NA,6000,NA,365,NA,NA,21.7667,NA,36,"525","captivity","medium","acceptable",NA,NA,0.00829,21.6,288,"37,268,426,525,749"
"13","00019","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","boreas","Western toad",1095,1095,6,NA,5200,NA,NA,NA,NA,NA,NA,11.5,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"437,451,526,749"
"14","00020","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","canorus","Yosemite toad",1825,1460,11,NA,1750,NA,NA,NA,NA,NA,NA,15,"503","wild","medium","acceptable",NA,NA,NA,NA,NA,"503,526,749"
"15","00021","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","cognatus","Great plains toad",730,730,4,NA,11074,NA,NA,NA,NA,NA,NA,10.7,"485","captivity","small","questionable",NA,NA,NA,NA,NA,"485,526,749"
"16","00022","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","debilis","Green toad",NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA,12.4,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
"17","00023","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","hemiophrys","Canadian toad",730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,528"
"18","00024","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","punctatus","Red-spotted toad",730,730,NA,NA,1500,NA,NA,NA,NA,NA,NA,11.3,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
"19","00025","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","retiformis","Sonoran green toad",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,15.3,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
"20","00026","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","terrestris","Southern toad",NA,NA,3,NA,3250,NA,NA,NA,NA,19.267,NA,10,"451","captivity","medium","acceptable",NA,NA,0.00698,19.2,288,"37,451,749"
"21","00027","Animalia","Chordata","Amphibia","Anura","Bufonidae","Atelopus","varius","Veragoa stubfoot toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451"
"22","00028","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","bufo","Common European toad",1460,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,525,526,1134"
"23","00029","Animalia","Chordata","Amphibia","Anura","Bufonidae","Incilius","alvarius","Colorado river toad",NA,1095,NA,NA,7750,NA,NA,NA,NA,NA,NA,15.4,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
"24","00030","Animalia","Chordata","Amphibia","Anura","Bufonidae","Nectophrynoides","asperginis","Kihansi spray toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"990","captivity","medium","questionable",NA,NA,NA,NA,NA,"990"
"25","00031","Animalia","Chordata","Amphibia","Anura","Bufonidae","Peltophryne","lemur","Ridge-headed toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"26","00032","Animalia","Chordata","Amphibia","Anura","Bufonidae","Peltophryne","peltocephala","Cuban toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485"
"27","00033","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","viridis","European green toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451"
"28","00034","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhaebo","blombergi","Colombian giant toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
"29","00035","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","arenarum","Argentine toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","small","low",NA,NA,NA,NA,NA,"451,525"
"30","00036","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","marina","Cane toad",365,365,2,NA,10000,NA,NA,NA,NA,106.25,NA,24.8,"485","captivity","large","acceptable",NA,NA,0.0303,105,293,"37,296,485,749"
"31","00037","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","schneideri","Eurura toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"32","00038","Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","aurita","Common horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"33","00039","Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","calcarata","Colombian horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
"34","00040","Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","cornuta","Amazonian horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
"35","00041","Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","ornata","Ornate horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
"36","00042","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus","Green and black dart-poison frog",365,365,12,NA,6,NA,NA,NA,NA,NA,NA,20.5,"448","captivity","large","acceptable",NA,NA,NA,NA,NA,"448,749"
"37","00043","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","leucomelas","Yellow-banded poison frog",75,75,12,NA,7,NA,NA,NA,NA,NA,NA,11.5,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,749"
"38","00044","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","tinctorius","Blue poison-dart frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","large","low",NA,NA,NA,NA,NA,"451"
"39","00045","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Oophaga","histrionica","Kokoe-pa poison dart frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
"40","00046","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Oophaga","pumilio","Strawberry poison frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
"41","00047","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Phyllobates","vittatus","Golfo dulce poison-dart frog",304,304,15,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium","low",NA,NA,NA,NA,NA,"749"
"42","00048","Animalia","Chordata","Amphibia","Anura","Dicroglossidae","Hoplobatrachus","occipitalis","African tigrine frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,10.9,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
"43","00049","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","blanchardi","Blanchard's cricket frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"unknown","small","low",NA,NA,NA,NA,NA,"1096"
"44","00050","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","crepitans","Northern cricket frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,"485","captivity","small","questionable",NA,NA,NA,NA,NA,"485,749,1096"
"45","00051","Animalia","Chordata","Amphibia","Anura","Hylidae","Agalychnis","callidryas","Red-eyed tree frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","large","low",NA,NA,NA,NA,NA,"485"
"46","00052","Animalia","Chordata","Amphibia","Anura","Hylidae","Agalychnis","spurrelli","Maroon-eyed tree frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
"47","00053","Animalia","Chordata","Amphibia","Anura","Hylidae","Diaglena","spatulata","Treefrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
"48","00054","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","arborea","European tree frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"49","00055","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","chrysoscelis","Cope's gray treefrog",730,547,21,NA,35,NA,NA,NA,NA,NA,NA,7.8,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,528,749"
"50","00056","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","cinerea","Green treefrog",730,730,NA,NA,1222,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium","low",NA,NA,NA,NA,NA,"485,749"
"51","00057","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","gratiosa","Barking treefrog",NA,NA,NA,NA,2250,NA,NA,NA,NA,NA,NA,12.5,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,749"
"52","00058","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","japonica","Japanese treefrog",1278,1278,NA,NA,920,NA,NA,NA,NA,NA,NA,8.9,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
"53","00059","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","squirella","Squirrel treefrog",NA,NA,1,NA,1000,1,NA,NA,NA,NA,NA,8.5,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
"54","00060","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","versicolor","Gray treefrog",730,730,4,NA,1800,NA,NA,NA,NA,7.2,NA,7.8,"543","captivity","medium","acceptable",NA,NA,0.00433,6.97,290.5,"37,528,543,749"
"55","00061","Animalia","Chordata","Amphibia","Anura","Hylidae","Hypsiboas","rosenbergi","Rosenberg's treefrog",NA,NA,NA,NA,775,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","small","low",NA,NA,NA,NA,NA,"485,749"
"56","00062","Animalia","Chordata","Amphibia","Anura","Hylidae","Litoria","caerulea","Australian green treefrog",NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,20,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,749"
"57","00063","Animalia","Chordata","Amphibia","Anura","Hylidae","Osteopilus","septentrionalis","Cuban treefrog",255,120,1,NA,1500,NA,NA,NA,NA,NA,NA,12.9,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,749"
"58","00064","Animalia","Chordata","Amphibia","Anura","Hylidae","Osteopilus","vastus","Hispaniola giant treefrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,"451","captivity","small","questionable",NA,NA,NA,NA,NA,"451"
"59","00065","Animalia","Chordata","Amphibia","Anura","Hylidae","Pachymedusa","dacnicolor","Mexican leaf frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"60","00066","Animalia","Chordata","Amphibia","Anura","Hylidae","Phyllomedusa","bicolor","Waxy treefrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
"61","00067","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","crucifer","Spring peeper",912,912,10,NA,700,NA,NA,NA,NA,4,NA,NA,NA,"unknown","small","low",NA,NA,0.00105,0.9,292,"37,451,525,528,749"
"62","00068","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudis","paradoxa","Paradox frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"63","00069","Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","baudinii","Mexican treefrog",NA,NA,NA,NA,2480,NA,NA,NA,NA,NA,NA,6.3,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
"64","00070","Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","fodiens","Lowland burrowing treefrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485"
"65","00071","Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","phaeota","Masked treefrog",NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,4.1,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
"66","00072","Animalia","Chordata","Amphibia","Anura","Hylidae","Trachycephalus","venulosus","Marbled treefrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"67","00073","Animalia","Chordata","Amphibia","Anura","Leiopelmatidae","Ascaphus","truei","Coastal tailed frog",NA,NA,32,NA,62,NA,NA,NA,NA,NA,NA,14,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
"68","00074","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus","pentadactylus","Tungara frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
"69","00075","Animalia","Chordata","Amphibia","Anura","Mantellidae","Mantella","aurantiaca","Golden mantella",NA,NA,14,NA,40,NA,NA,NA,NA,NA,NA,10.9,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,749"
"70","00076","Animalia","Chordata","Amphibia","Anura","Mantellidae","Mantella","expectata","Blue-legged mantella",365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"1060","wild","small","questionable",NA,NA,NA,NA,NA,"1060"
"71","00077","Animalia","Chordata","Amphibia","Anura","Microhylidae","Gastrophryne","carolinensis","Eastern narrow-mouthed toad",547,365,1,NA,722,NA,NA,NA,NA,NA,NA,6.8,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,528,749"
"72","00078","Animalia","Chordata","Amphibia","Anura","Microhylidae","Kaloula","pulchra","Malaysian narrowmouth toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485"
"73","00079","Animalia","Chordata","Amphibia","Anura","Microhylidae","Microhyla","ornata","Ornate narrow-mouthed frog",547,182,NA,NA,NA,NA,NA,1125,NA,NA,NA,5,"964","wild","small","acceptable",NA,NA,NA,NA,NA,"964"
"74","00080","Animalia","Chordata","Amphibia","Anura","Microhylidae","Phrynomantis","bifasciatus","Red-banded frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
"75","00081","Animalia","Chordata","Amphibia","Anura","Microhylidae","Scaphiophryne","gottlebei","Rainbow frog",365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1060","wild","small","questionable",NA,NA,NA,NA,NA,"1060"
"76","00082","Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","fuscus","Common Eurasian spadefoot toad",NA,NA,8,NA,1740,NA,NA,NA,NA,NA,NA,11,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
"77","00083","Animalia","Chordata","Amphibia","Anura","Petropedetidae","Conraua","goliath","Goliath frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
"78","00084","Animalia","Chordata","Amphibia","Anura","Pipidae","Pipa","pipa","Surinam toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
"79","00085","Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","laevis","African clawed frog",183,NA,2,NA,NA,NA,NA,NA,NA,130,NA,30.3,"451","captivity","large","acceptable",NA,NA,0.012,63.6,288,"10,37,196,451,526,607,749,1255"
"80","00086","Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Pyxicephalus","adspersus","African bullfrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,749"
"81","00087","Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Tomopterna","delalandii","Cape sand frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"82","00088","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","catesbeianus","American bullfrog",1277,730,4,NA,NA,NA,NA,NA,NA,54.4,NA,16,"485","captivity","medium","acceptable",NA,NA,0.0134,51.2,288,"2,37,485,526,528,749"
"83","00089","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","clamitans","Green frog",730,730,NA,NA,4000,NA,NA,NA,NA,NA,NA,10,"528","captivity","medium","acceptable",NA,NA,NA,NA,NA,"528,749"
"84","00090","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","pipiens","Northern leopard frog",730,365,NA,NA,4146,NA,NA,NA,NA,29.0222,NA,9,"525","wild","medium","acceptable",NA,NA,0.00576,21.6,289.78,"37,42,268,525,528,749"
"85","00091","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","septentrionalis","Mink frog",730,547,NA,NA,2250,NA,NA,NA,NA,NA,NA,6,"528","wild","medium","acceptable",NA,NA,NA,NA,NA,"528,749"
"86","00092","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","sylvaticus","Wood frog",912,547,NA,NA,900,NA,NA,NA,NA,7.88,NA,5,NA,"unknown","medium","questionable",NA,NA,0.00416,7.8,289.8,"37,43,289,340,528,749"
"87","00093","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","virgatipes","Carpenter frog",NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
"88","00094","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","lessonae","Pool frog",NA,NA,NA,NA,2420,NA,NA,NA,NA,NA,NA,6,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
"89","00095","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","nigromaculatus","Black-spotted frog",730,730,NA,NA,2800,NA,NA,NA,NA,NA,NA,15,"651","wild","medium","acceptable",NA,NA,NA,NA,NA,"651,749"
"90","00096","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","perezi","Italian green frog",912,912,6,NA,NA,NA,NA,NA,NA,NA,NA,6.8,"650","captivity","small","acceptable",NA,NA,NA,NA,NA,"525,650,749"
"91","00097","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","ridibundus","Marsh frog",1460,1095,NA,NA,6835,NA,NA,NA,NA,NA,NA,11,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749,895"
"92","00098","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","amurensis","Siberian wood frog",1640,1640,NA,NA,2125,NA,NA,NA,NA,NA,NA,9,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
"93","00099","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","arvalis","Moor frog",NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,11,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
"94","00100","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","aurora","California red-legged frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"503","wild","medium","acceptable",NA,NA,NA,NA,NA,"503,1150"
"95","00101","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","esculenta","Edible frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525"
"96","00102","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","iberica","Iberian frog",NA,NA,NA,NA,318,NA,NA,NA,NA,NA,NA,8,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
"97","00103","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","macrocnemis","Long-legged wood frog",912,912,NA,NA,2040,NA,NA,NA,NA,NA,NA,5,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
"98","00104","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","temporaria","European frog",1095,1095,NA,NA,2585,NA,NA,NA,NA,NA,NA,27,NA,"unknown","medium","acceptable",NA,NA,NA,NA,NA,"25,525,526,749,1118"
"99","00105","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Scaphiopus","couchii","Couch's spadefoot",NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,6.7,"485","captivity","small","questionable",NA,NA,NA,NA,NA,"458,485,749"
"100","00106","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Scaphiopus","holbrookii","Eastern spadefoot",730,730,8,NA,3872,NA,NA,NA,NA,NA,NA,12.3,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,528,749"
"101","00107","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Spea","intermontana","Great Basin spadefoot",NA,NA,3,NA,676,NA,NA,NA,NA,NA,NA,20,"437","wild","medium","acceptable",NA,NA,NA,NA,NA,"437,749"
"102","00108","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile","Northwestern salamander",730,730,NA,NA,150,NA,NA,NA,NA,NA,NA,10.2,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
"103","00109","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","mabeei","Mabee's salamander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485"
"104","00110","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum","Long-toed salamander",730,730,40,NA,250,NA,NA,NA,NA,NA,NA,10,"437","wild","medium","acceptable",NA,NA,NA,NA,NA,"437,749"
"105","00111","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","maculatum","Spotted salamander",1095,730,NA,NA,125,NA,NA,NA,NA,12.84,NA,32,NA,"unknown","medium","acceptable",NA,NA,0.005,12.8,290,"37,528,749"
"106","00112","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","mexicanum","Axolotl",548,548,18,NA,NA,NA,NA,NA,NA,NA,NA,17,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"449,451,749,796,843"
"107","00113","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","opacum","Marbled salamander",1296,1113,NA,NA,100,NA,NA,NA,NA,NA,NA,11.3,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,528,749"
"108","00114","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","rosaceum","Chihuahuan mole salamander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
"109","00115","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","talpoideum","Mole salamander",730,730,NA,NA,350,NA,NA,NA,NA,NA,NA,9,"749","unknown","medium","acceptable",NA,NA,NA,NA,NA,"528,749"
